epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3312.6,0.87219,0.74263,1.15193,0.88105,0.86869,0.92015,0.7142,0.8545,0.59551,1.11502,0.005842,0.005842,0.005842
44,3387.09,0.88082,0.73924,1.15343,0.89701,0.86491,0.92305,0.7203,0.85157,0.58777,1.11236,0.005743,0.005743,0.005743
45,3461.41,0.86886,0.73938,1.15135,0.89553,0.86571,0.92455,0.7179,0.84787,0.58951,1.11223,0.005644,0.005644,0.005644
46,3535.75,0.86535,0.73013,1.14664,0.89524,0.8663,0.92545,0.72178,0.84794,0.58557,1.11001,0.005545,0.005545,0.005545
47,3609.78,0.86437,0.72198,1.14749,0.88168,0.87853,0.92493,0.72071,0.84971,0.58406,1.11623,0.005446,0.005446,0.005446
48,3683.62,0.86506,0.72457,1.14793,0.88259,0.87117,0.925,0.72398,0.84391,0.58188,1.11228,0.005347,0.005347,0.005347
49,3757.92,0.86605,0.71858,1.14334,0.88167,0.87485,0.9267,0.72567,0.8389,0.57724,1.10502,0.005248,0.005248,0.005248
50,3831.93,0.8531,0.7108,1.142,0.88657,0.87212,0.92685,0.72683,0.8384,0.57343,1.10496,0.005149,0.005149,0.005149
51,3905.91,0.85168,0.70817,1.13817,0.87906,0.886,0.92794,0.73046,0.83769,0.57127,1.10104,0.00505,0.00505,0.00505
52,3979.87,0.85315,0.70584,1.13677,0.88485,0.8781,0.92578,0.73013,0.83562,0.57062,1.10198,0.004951,0.004951,0.004951
53,4053.96,0.84689,0.70004,1.1359,0.89002,0.87697,0.92621,0.7305,0.83353,0.56491,1.10142,0.004852,0.004852,0.004852
54,4127.86,0.84942,0.69757,1.13102,0.88977,0.87585,0.92715,0.73218,0.83231,0.56345,1.09694,0.004753,0.004753,0.004753
55,4201.78,0.8487,0.69698,1.13435,0.8874,0.88393,0.92899,0.73372,0.83129,0.56213,1.09634,0.004654,0.004654,0.004654
56,4275.73,0.84258,0.68905,1.13235,0.88299,0.89047,0.92916,0.73374,0.82774,0.56147,1.09599,0.004555,0.004555,0.004555
57,4349.77,0.83391,0.68267,1.12779,0.88916,0.88138,0.93045,0.73398,0.82282,0.55539,1.09233,0.004456,0.004456,0.004456
58,4423.82,0.8379,0.68189,1.12735,0.89001,0.88347,0.93036,0.73471,0.82002,0.55494,1.09061,0.004357,0.004357,0.004357
59,4497.89,0.83038,0.67041,1.12387,0.88887,0.88506,0.9318,0.73686,0.82043,0.55214,1.08979,0.004258,0.004258,0.004258
60,4571.96,0.83277,0.67321,1.12236,0.89299,0.88616,0.93195,0.73725,0.81808,0.54879,1.08802,0.004159,0.004159,0.004159
61,4645.9,0.83043,0.67025,1.12143,0.89862,0.88198,0.93161,0.73898,0.81891,0.55037,1.0887,0.00406,0.00406,0.00406
62,4719.77,0.82833,0.66567,1.12599,0.89697,0.8856,0.93327,0.74185,0.81729,0.54728,1.08981,0.003961,0.003961,0.003961
